[INFO] [2024-11-19 23:33:16,987] [DBTune-sysbench_smac_49] Start new DBTune task
[INFO] [2024-11-19 23:33:17,240] [BO_Optimizer] === [BO auto selection] === acq_type: ei.
[INFO] [2024-11-19 23:33:17,277] [autotune] max_join_size with value of is larger than max, adjusted
[INFO] [2024-11-19 23:33:17,278] [autotune] [step 1] generate knobs: {'back_log': 900, 'ft_query_expansion_limit': 20, 'general_log': 'OFF', 'innodb_buffer_pool_size': 13958643712, 'innodb_concurrency_tickets': 5000, 'innodb_doublewrite': 'ON', 'innodb_fill_factor': 100, 'innodb_ft_total_cache_size': 640000000, 'innodb_io_capacity_max': 400, 'innodb_log_buffer_size': 16777216, 'innodb_log_file_size': 50331648, 'innodb_max_dirty_pages_pct_lwm': 0, 'innodb_max_purge_lag': 0, 'innodb_max_undo_log_size': 1073741000, 'innodb_open_files': 2000, 'innodb_purge_threads': 4, 'innodb_random_read_ahead': 'OFF', 'innodb_read_ahead_threshold': 56, 'innodb_read_io_threads': 4, 'innodb_spin_wait_delay': 6, 'innodb_stats_transient_sample_pages': 8, 'innodb_sync_spin_loops': 30, 'innodb_thread_concurrency': 0, 'join_buffer_size': 262144, 'key_buffer_size': 8388608, 'key_cache_age_threshold': 300, 'key_cache_block_size': 1024, 'log_output': 'FILE', 'max_allowed_packet': 4194304, 'max_binlog_size': 1073741824, 'max_binlog_stmt_cache_size': 18446744073709500000, 'max_delayed_threads': 20, 'max_heap_table_size': 16777216, 'max_join_size': 18446744073709551615, 'max_prepared_stmt_count': 16382, 'max_write_lock_count': 18446744073709500000, 'open_files_limit': 50000, 'query_cache_size': 1048576, 'query_prealloc_size': 8192, 'range_alloc_block_size': 4096, 'read_buffer_size': 131072, 'sort_buffer_size': 262144, 'stored_program_cache': 256, 'sync_binlog': 1, 'table_definition_cache': 1400, 'table_open_cache': 2000, 'table_open_cache_instances': 16, 'thread_cache_size': 0, 'tmp_table_size': 16777216}

[INFO] [2024-11-19 23:34:17,309] [autotune] Force close!
[INFO] [2024-11-19 23:34:17,381] [autotune] mysql is shut down
[INFO] [2024-11-19 23:34:17,387] [autotune] generated config file done
[INFO] [2024-11-19 23:34:17,417] [autotune] wait for connection
[INFO] [2024-11-19 23:34:48,477] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:49,480] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:50,482] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:51,484] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:52,487] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:53,496] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:54,499] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:55,501] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:56,503] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:57,506] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:58,508] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:34:59,510] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:00,513] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:01,515] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:02,517] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:03,519] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:04,522] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:05,524] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:06,526] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:07,529] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:08,531] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:09,534] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:10,536] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:11,538] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:12,540] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:13,548] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:14,551] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:15,553] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:16,555] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:17,557] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:18,559] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:35:19,568] [autotune] Connected to MySQL db
[INFO] [2024-11-19 23:35:19,568] [autotune] finish 62 seconds waiting for connection
[INFO] [2024-11-19 23:35:19,569] [autotune] /usr/sbin/mysqld --defaults-file=scripts/template/experiment_normandy.cnf
[INFO] [2024-11-19 23:35:19,569] [autotune] mysql is up
[INFO] [2024-11-19 23:35:19,569] [autotune] sleeping for 5 seconds after restarting mysql
[INFO] [2024-11-19 23:35:24,887] [autotune] [DBG]. bash /usr/local/lib/python3.8/dist-packages/autotune/cli/run_sysbench.sh write localhost 3306 root password 150 800000 10 80 180 ./log/1732059324.log sbwrite
[INFO] [2024-11-19 23:38:36,134] [autotune] internal metrics: [42.714285714285715, 77990.37142857142, 370081323.8857143, 39109441.82857143, 479.0571428571429, 22600.457142857143, 231.97142857142856, 4840020377.6, 214438473.14285713, 295411.4, 13088.285714285714, 556439.4, 13.17142857142857, 851864.0, 0.0, 0.0, 428307.97142857144, 21832.914285714287, 13958643712.0, 0.0, 184933.8, 4761.657142857143, 4766.257142857143, 9510.828571428572, 177.0, 3426.342857142857, 0.0, 3428.9714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 7761.5142857142855, 231.31428571428572, 5.257142857142857, 16384.0, 4745.228571428572, 11730.657142857142, 0.0, 26.285714285714285, 901.6, 32.857142857142854, 1650.7428571428572, 52981.485714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5912897.828571429, 0.0, 85193.31428571428, 4193.885714285714, 111.71428571428571, 22605.057142857142, 4432.428571428572, 31528725.942857143, 12.485714285714286, 0.0, 0.0, 689.1428571428571].
[INFO] [2024-11-19 23:38:36,313] [DBTune-sysbench_smac_49] Iteration 1, objective value: [-47.29888888888889].
[INFO] [2024-11-19 23:38:36,315] [autotune] [step 2] generate knobs: {'back_log': 43023, 'ft_query_expansion_limit': 128, 'general_log': 'ON', 'innodb_buffer_pool_size': 10896327455, 'innodb_concurrency_tickets': 2570673543, 'innodb_doublewrite': 'ON', 'innodb_fill_factor': 43, 'innodb_ft_total_cache_size': 709496552, 'innodb_io_capacity_max': 17632, 'innodb_log_buffer_size': 2632656926, 'innodb_log_file_size': 1012858728, 'innodb_max_dirty_pages_pct_lwm': 24, 'innodb_max_purge_lag': 521844437, 'innodb_max_undo_log_size': 3642678885307720000, 'innodb_open_files': 581248, 'innodb_purge_threads': 21, 'innodb_random_read_ahead': 'ON', 'innodb_read_ahead_threshold': 43, 'innodb_read_io_threads': 21, 'innodb_spin_wait_delay': 5276, 'innodb_stats_transient_sample_pages': 26, 'innodb_sync_spin_loops': 16321, 'innodb_thread_concurrency': 636, 'join_buffer_size': 237365087, 'key_buffer_size': 16808737260, 'key_cache_age_threshold': 22471, 'key_cache_block_size': 9366, 'log_output': 'NONE', 'max_allowed_packet': 704548761, 'max_binlog_size': 190516059, 'max_binlog_stmt_cache_size': 10053972086174248000, 'max_delayed_threads': 16133, 'max_heap_table_size': 1006513799, 'max_join_size': 796414854953426000, 'max_prepared_stmt_count': 172821, 'max_write_lock_count': 2429966971059968000, 'open_files_limit': 475771, 'query_cache_size': 1756180624, 'query_prealloc_size': 28663453, 'range_alloc_block_size': 35176, 'read_buffer_size': 1805393867, 'sort_buffer_size': 98363714, 'stored_program_cache': 284296, 'sync_binlog': 2535524023, 'table_definition_cache': 266724, 'table_open_cache': 74388, 'table_open_cache_instances': 37, 'thread_cache_size': 11287, 'tmp_table_size': 937723471}

[INFO] [2024-11-19 23:39:36,402] [autotune] Force close!
[INFO] [2024-11-19 23:39:36,478] [autotune] mysql is shut down
[INFO] [2024-11-19 23:39:36,483] [autotune] generated config file done
[INFO] [2024-11-19 23:39:36,509] [autotune] wait for connection
[INFO] [2024-11-19 23:40:07,570] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:08,573] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:09,575] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:10,577] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:11,579] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:12,581] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:13,584] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:14,586] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:15,588] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:16,590] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
[INFO] [2024-11-19 23:40:17,593] [autotune] 2002: Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2 No such file or directory)
